Traits,What Influences,What Influences JSON
Trustworthiness & Honesty,Sun | Jupiter | Rahu | Ketu | 9H,"{""planets"": [""Sun"", ""Jupiter"", ""Rahu"", ""Ketu""], ""houses"": [""9H""], ""points"": [], ""signs"": [], ""others"": []}"
Respectful Behavior,Jupiter | Venus | Saturn | Mars | Rahu,"{""planets"": [""Jupiter"", ""Venus"", ""Saturn"", ""Mars"", ""Rahu""], ""houses"": [], ""points"": [], ""signs"": [], ""others"": []}"
Loyalty & Commitment,Venus | Moon | Rahu | Ketu | 7H,"{""planets"": [""Venus"", ""Moon"", ""Rahu"", ""Ketu""], ""houses"": [""7H""], ""points"": [], ""signs"": [], ""others"": []}"
Emotional Maturity,Moon | Saturn | Jupiter | Rahu | Ketu,"{""planets"": [""Moon"", ""Saturn"", ""Jupiter"", ""Rahu"", ""Ketu""], ""houses"": [], ""points"": [], ""signs"": [], ""others"": []}"
Kindness & Compassion,Moon | Venus | Mars,"{""planets"": [""Moon"", ""Venus"", ""Mars""], ""houses"": [], ""points"": [], ""signs"": [], ""others"": []}"
Effective Communication,Mercury | Rahu | 3H | 2H | 10H,"{""planets"": [""Mercury"", ""Rahu""], ""houses"": [""3H"", ""2H"", ""10H""], ""points"": [], ""signs"": [], ""others"": []}"
Supportiveness,Moon | Venus | Saturn | 4H | 11H,"{""planets"": [""Moon"", ""Venus"", ""Saturn""], ""houses"": [""4H"", ""11H""], ""points"": [], ""signs"": [], ""others"": []}"
Problem-Solving,Mercury | Mars | Moon | 6H,"{""planets"": [""Mercury"", ""Mars"", ""Moon""], ""houses"": [""6H""], ""points"": [], ""signs"": [], ""others"": []}"
Affection & Intimacy,Venus | Saturn | Mars | Rahu | 7H,"{""planets"": [""Venus"", ""Saturn"", ""Mars"", ""Rahu""], ""houses"": [""7H""], ""points"": [], ""signs"": [], ""others"": []}"
Responsibility & Reliability,Saturn | Moon | 6H | 10H,"{""planets"": [""Saturn"", ""Moon""], ""houses"": [""6H"", ""10H""], ""points"": [], ""signs"": [], ""others"": []}"
Shared Values,Jupiter | Rahu | 9H | 2H,"{""planets"": [""Jupiter"", ""Rahu""], ""houses"": [""9H"", ""2H""], ""points"": [], ""signs"": [], ""others"": []}"
Sense of Humor,Mercury | Jupiter | Saturn | 5H,"{""planets"": [""Mercury"", ""Jupiter"", ""Saturn""], ""houses"": [""5H""], ""points"": [], ""signs"": [], ""others"": []}"
Independence / Self-Motivation,Sun | Mars | Moon,"{""planets"": [""Sun"", ""Mars"", ""Moon""], ""houses"": [], ""points"": [], ""signs"": [], ""others"": []}"
Adaptability & Flexibility,Mercury | Rahu,"{""planets"": [""Mercury"", ""Rahu""], ""houses"": [], ""points"": [], ""signs"": [], ""others"": []}"
Strong Work Ethic,Saturn | Mars | 6H | 10H | Lagna,"{""planets"": [""Saturn"", ""Mars""], ""houses"": [""6H"", ""10H""], ""points"": [""Lagna""], ""signs"": [], ""others"": []}"
Positive Attitude,Jupiter | Moon | Saturn | Rahu,"{""planets"": [""Jupiter"", ""Moon"", ""Saturn"", ""Rahu""], ""houses"": [], ""points"": [], ""signs"": [], ""others"": []}"
Risk Taking Ability,Mars | Rahu | Saturn | Moon | 3H | 5H | 10H,"{""planets"": [""Mars"", ""Rahu"", ""Saturn"", ""Moon""], ""houses"": [""3H"", ""5H"", ""10H""], ""points"": [], ""signs"": [], ""others"": []}"
